,Location,PopTotal,PopDensity
438,United Nations Economic Commission for Africa (UN-ECA),1338827000.0,45.571000000000005
439,United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),653959000.0,32.491
440,United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4627632000.0,88.98200000000001
441,United Nations Member States,7789099000.0,59.998000000000005
442,United Republic of Tanzania,59734000.0,67.435
443,United States Virgin Islands,104000.0,298.351
444,United States of America,331003000.0,36.185
445,United States of America (and dependencies),334249000.0,36.499
446,Upper-middle-income countries,2654816000.0,47.801
447,Uruguay,3474000.0,19.848
448,Uzbekistan,33469000.0,78.67699999999999
449,Vanuatu,307000.0,25.197
450,Venezuela (Bolivarian Republic of),28436000.0,32.238
451,Viet Nam,97339000.0,313.925
452,WB region: East Asia and Pacific (excluding high income),2142226000.0,134.615
453,WB region: Europe and Central Asia (excluding high income),422715000.0,18.694000000000003
454,WB region: Latin America and Caribbean (excluding high income),575045000.0,35.312
455,WB region: Middle East and North Africa (excluding high income),396446000.0,45.879
456,WB region: South Asia (excluding high income),1856377000.0,389.04900000000004
457,WB region: Sub-Saharan Africa (excluding high income),1135954000.0,48.099
458,WHO Regions,7750011000.0,59.967
459,WHO: African region (AFRO),1120161000.0,47.45
460,WHO: Americas (AMRO),1018121000.0,26.603
461,WHO: Eastern Mediterranean Region (EMRO),725721000.0,57.403999999999996
462,WHO: European Region (EURO),932888000.0,34.5
463,WHO: South-East Asia region (SEARO),2021387000.0,312.96299999999997
464,WHO: Western Pacific region (WPRO),1931733000.0,91.04700000000001
465,Wallis and Futuna Islands,11000.0,80.329
466,West African Economic and Monetary Union (UEMOA),130853000.0,37.75
467,Western Africa,401861000.0,66.26899999999999
468,Western Asia,279637000.0,58.196000000000005
469,Western Europe,196146000.0,180.81400000000002
470,Western European and Others Group (WEOG),923722000.0,29.646
471,Western Sahara,597000.0,2.246
472,World,7794799000.0,59.917
473,World Bank Regional Groups (developing only),6528762000.0,71.08800000000001
474,Yemen,29826000.0,56.492
475,Zambia,18384000.0,24.73
476,Zimbabwe,14863000.0,38.42
477,Cape Verde,543767.0,
478,Cape Verde,543767.0,
479,Kosovo,1810463.0,
